account_name,phone,state,call_type,talk_track
"Arlington School District, SD",+16059835597,SD,erate,"Hi, this is Samson with Fortinet — I work with a number of school districts in your area on their E-Rate projects. Category 2 funding covers up to 85 percent of firewall costs, and the filing window is closing soon. I wanted to see if you've looked at what your eligibility covers this year."
"Armour School District, SD",+16057242153,SD,erate,"Hi, this is Samson with Fortinet — I work with a number of school districts in your area on their E-Rate projects. Category 2 funding covers up to 85 percent of firewall costs, and the filing window is closing soon. I wanted to see if you've looked at what your eligibility covers this year."
"Ashworth Road Baptist Church, IA",+15152230914,IA,erate,"Hi, this is Samson with Fortinet — I work with a number of school districts in your area on their E-Rate projects. Category 2 funding covers up to 85 percent of firewall costs, and the filing window is closing soon. I wanted to see if you've looked at what your eligibility covers this year."
Aspire SD,+16052290263,SD,erate,"Hi, this is Samson with Fortinet — I work with a number of school districts in your area on their E-Rate projects. Category 2 funding covers up to 85 percent of firewall costs, and the filing window is closing soon. I wanted to see if you've looked at what your eligibility covers this year."
"Atlantic Public Library, IA",+17122435466,IA,erate,"Hi, this is Samson with Fortinet — I work with a number of school districts in your area on their E-Rate projects. Category 2 funding covers up to 85 percent of firewall costs, and the filing window is closing soon. I wanted to see if you've looked at what your eligibility covers this year."
"Audubon CSD, IA",+17125632607,IA,erate,"Hi, this is Samson with Fortinet — I work with a number of school districts in your area on their E-Rate projects. Category 2 funding covers up to 85 percent of firewall costs, and the filing window is closing soon. I wanted to see if you've looked at what your eligibility covers this year."
"Augustana University, SD",+16053360770,SD,erate,"Hi, this is Samson with Fortinet — I work with a number of school districts in your area on their E-Rate projects. Category 2 funding covers up to 85 percent of firewall costs, and the filing window is closing soon. I wanted to see if you've looked at what your eligibility covers this year."
Avon School District 4-1,+16052863291,SD,erate,"Hi, this is Samson with Fortinet — I work with a number of school districts in your area on their E-Rate projects. Category 2 funding covers up to 85 percent of firewall costs, and the filing window is closing soon. I wanted to see if you've looked at what your eligibility covers this year."
"Baltic School District, SD",+16055295464,SD,erate,"Hi, this is Samson with Fortinet — I work with a number of school districts in your area on their E-Rate projects. Category 2 funding covers up to 85 percent of firewall costs, and the filing window is closing soon. I wanted to see if you've looked at what your eligibility covers this year."
"Belle Fourche Public Library, SD",+16058924407,SD,erate,"Hi, this is Samson with Fortinet — I work with a number of school districts in your area on their E-Rate projects. Category 2 funding covers up to 85 percent of firewall costs, and the filing window is closing soon. I wanted to see if you've looked at what your eligibility covers this year."
Belle Fourche School District,+16057233355,SD,erate,"Hi, this is Samson with Fortinet — I work with a number of school districts in your area on their E-Rate projects. Category 2 funding covers up to 85 percent of firewall costs, and the filing window is closing soon. I wanted to see if you've looked at what your eligibility covers this year."
"Bennett County School District, SD",+16056856112,SD,erate,"Hi, this is Samson with Fortinet — I work with a number of school districts in your area on their E-Rate projects. Category 2 funding covers up to 85 percent of firewall costs, and the filing window is closing soon. I wanted to see if you've looked at what your eligibility covers this year."
"Beresford Public Library, SD",+16057632782,SD,erate,"Hi, this is Samson with Fortinet — I work with a number of school districts in your area on their E-Rate projects. Category 2 funding covers up to 85 percent of firewall costs, and the filing window is closing soon. I wanted to see if you've looked at what your eligibility covers this year."
"Beresford School District, SD",+16057635012,SD,erate,"Hi, this is Samson with Fortinet — I work with a number of school districts in your area on their E-Rate projects. Category 2 funding covers up to 85 percent of firewall costs, and the filing window is closing soon. I wanted to see if you've looked at what your eligibility covers this year."
"Bethesda Luthern Church, IA",+15152326556,IA,erate,"Hi, this is Samson with Fortinet — I work with a number of school districts in your area on their E-Rate projects. Category 2 funding covers up to 85 percent of firewall costs, and the filing window is closing soon. I wanted to see if you've looked at what your eligibility covers this year."
