phone,name,account,notes
4029341330,"MARIAN HIGH SCHOOL, NE","MARIAN HIGH SCHOOL, NE",State: NE | Vertical: Education: Lower Education | CallCount: 0
16053845432,"Marty Indian School Board, Inc., SD","Marty Indian School Board, Inc., SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
16054252264,McCook Central School District (SD) - ISD #43-7,McCook Central School District (SD) - ISD #43-7,State: SD | Vertical: Education: Lower Education | CallCount: 0
16052734227,"Mcintosh School District 15-1, SD","Mcintosh School District 15-1, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
6058234484,"McLaughlin School District, SD","McLaughlin School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
6053428265,"Memorial Christian School, SD","Memorial Christian School, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
6053875161,"Menno Public School, SD","Menno Public School, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
6054325579,"Milbank School District, SD","Milbank School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
6058532455,"Miller School District, SD","Miller School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
16058453360,"Mobridge-Pollock 62-6 School District, SD","Mobridge-Pollock 62-6 School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
7127374873,"MOC-Floyd Valley CSD, IA","MOC-Floyd Valley CSD, IA",State: IA | Vertical: Education: Lower Education | CallCount: 0
13089463836,"Nebraska Christian Schools, NE","Nebraska Christian Schools, NE",State: NE | Vertical: Education: Lower Education | CallCount: 0
14029911444,"Nelson Mandela Elementary School, Inc., NE","Nelson Mandela Elementary School, Inc., NE",State: NE | Vertical: Education: Lower Education | CallCount: 0
6054562393,"Newell School, SD","Newell School, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
16058873467,"Northwestern Area School District 56-7, SD","Northwestern Area School District 56-7, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
16055352631,"Oelrichs School District 23-3, SD","Oelrichs School District 23-3, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
6054542454,OGLALA LAKOTA COUNTY SCHOOL DISTRICT (SD) ISD- 65-1,OGLALA LAKOTA COUNTY SCHOOL DISTRICT (SD) ISD- 65-1,State: SD | Vertical: Education: Lower Education | CallCount: 0
16054828244,"Oldham - Ramona School District 39-5, SD","Oldham - Ramona School District 39-5, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
14027313033,"Omaha Catholic School Consortium, NE","Omaha Catholic School Consortium, NE",State: NE | Vertical: Education: Lower Education | CallCount: 0
4024515234,"Omaha Street School, NE","Omaha Street School, NE",State: NE | Vertical: Education: Lower Education | CallCount: 0
14027977700,"Our Lady of Guadalupe Seminary, NE","Our Lady of Guadalupe Seminary, NE",State: NE | Vertical: Education: Lower Education | CallCount: 0
6052973456,"Parker School, SD","Parker School, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
6059283368,"Parkston School District, SD","Parkston School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
16059427743,Plankinton School District (SD) ISD  1-1,Plankinton School District (SD) ISD  1-1,State: SD | Vertical: Education: Lower Education | CallCount: 0
16053373391,"Platte - Geddes School District 11-5, SD","Platte - Geddes School District 11-5, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
14028435325,"Pope John Xxiii Central Cath Hs, NE","Pope John Xxiii Central Cath Hs, NE",State: NE | Vertical: Education: Lower Education | CallCount: 0
4025789076,"Prairie Queen LLC, NE","Prairie Queen LLC, NE",State: NE | Vertical: Education: Lower Education | CallCount: 0
17126235471,"Red Oak Community School District Foundation, Inc.","Red Oak Community School District Foundation, Inc.",State: IA | Vertical: Education: Lower Education | CallCount: 0
16054724520,"Redfield School District 56-4, SD","Redfield School District 56-4, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
6055864352,RUTLAND SCHOOL DISTRICT (SD) - ISD 39-4,RUTLAND SCHOOL DISTRICT (SD) - ISD 39-4,State: SD | Vertical: Education: Lower Education | CallCount: 0
4029202539,"Saint (St.)  Francis School, NE","Saint (St.)  Francis School, NE",State: NE | Vertical: Education: Lower Education | CallCount: 0
14028782577,"Saint (St.) Augustines Indian Mission School, NE","Saint (St.) Augustines Indian Mission School, NE",State: NE | Vertical: Education: Lower Education | CallCount: 0
14026782282,"Saint (St.) Edward Public Schools, NE","Saint (St.) Edward Public Schools, NE",State: NE | Vertical: Education: Lower Education | CallCount: 0
4029371385,"Saint (St.) John Lutheran School, NE","Saint (St.) John Lutheran School, NE",State: NE | Vertical: Education: Lower Education | CallCount: 0
3193347173,"Saint (St.) Johns School, IA","Saint (St.) Johns School, IA",State: IA | Vertical: Education: Lower Education | CallCount: 0
15636593812,"Saint (St.) Joseph Catholic School, IA","Saint (St.) Joseph Catholic School, IA",State: IA | Vertical: Education: Lower Education | CallCount: 0
16052247185,"Saint (St.) Joseph School,SD","Saint (St.) Joseph School,SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
16417827125,"Saint (St.) Malachy School / Creston, IA","Saint (St.) Malachy School / Creston, IA",State: IA | Vertical: Education: Lower Education | CallCount: 0
13193934445,Saint Pius X Elementary School,Saint Pius X Elementary School,State: IA | Vertical: Education: Lower Education | CallCount: 0
6055832237,"Scotland School District, SD","Scotland School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
5633593466,SCOTT COUNTY CATHOLIC SCHOOLS,SCOTT COUNTY CATHOLIC SCHOOLS,State: IA | Vertical: Education: Lower Education | CallCount: 0
14025647165,"Scotus Central Secondary School of Columbus, NE","Scotus Central Secondary School of Columbus, NE",State: NE | Vertical: Education: Lower Education | CallCount: 0
16056497818,"Selby Area School District 62-5, SD","Selby Area School District 62-5, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
6054556687,"Shannon County School District, SD","Shannon County School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
16053341422,Sioux Falls Christian Schools Association,Sioux Falls Christian Schools Association,State: SD | Vertical: Education: Lower Education | CallCount: 0
16056275657,"Sioux Valley School District 05-5, SD","Sioux Valley School District 05-5, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
6056987613,SISSETON SCHOOL DISTRICT (SD) -ISD 54-2,SISSETON SCHOOL DISTRICT (SD) -ISD 54-2,State: SD | Vertical: Education: Lower Education | CallCount: 0
16058453040,"Smee School District 15-3, SD","Smee School District 15-3, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
4027262151,"South Central Nebraska USD #5, NE","South Central Nebraska USD #5, NE",State: NE | Vertical: Education: Lower Education | CallCount: 0
13084972103,"SPALDING ACADEMY SCHOOL, NE","SPALDING ACADEMY SCHOOL, NE",State: NE | Vertical: Education: Lower Education | CallCount: 0
16052343300,St Joseph's Indian School,St Joseph's Indian School,State: SD | Vertical: Education: Lower Education | CallCount: 0
7123299000,"St. Albert Catholic School, IA","St. Albert Catholic School, IA",State: IA | Vertical: Education: Lower Education | CallCount: 0
16054285591,"St. Mary Catholic Schools, SD","St. Mary Catholic Schools, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
16052237741,"Stanley County School District, SD","Stanley County School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
6054982700,"Tea Area School District, SD","Tea Area School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
13086452614,"Thedford Public Schools, NE","Thedford Public Schools, NE",State: NE | Vertical: Education: Lower Education | CallCount: 0
16058653654,"Timber Lake School District 20-3, SD","Timber Lake School District 20-3, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
6057332290,"Tiospaye Topa, SD","Tiospaye Topa, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
16055435500,"Tri-Valley School District 49-6, SD","Tri-Valley School District 49-6, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
16059356766,"Tripp- Delmont School District 33-5, SD","Tripp- Delmont School District 33-5, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
14026682677,Verdigre Public Library,Verdigre Public Library,State: NE | Vertical: Education: Lower Education | CallCount: 0
6057665418,"Viborg School, SD","Viborg School, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
6053843677,"Wagner Community School, SD","Wagner Community School, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
17126645001,"Wall Lake View Auburn Community School District, IA","Wall Lake View Auburn Community School District, IA",State: IA | Vertical: Education: Lower Education | CallCount: 0
6052792156,Wall School District (SD) - ISD 51-5,Wall School District (SD) - ISD 51-5,State: SD | Vertical: Education: Lower Education | CallCount: 0
6052256194,"Warner School District, SD","Warner School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
12162957710,"Warrensville Heights City Schools, OH","Warrensville Heights City Schools, OH",State:  | Vertical: Education: Lower Education | CallCount: 0
6059474529,Waubay School District (SD) - ISD  18-3,Waubay School District (SD) - ISD  18-3,State: SD | Vertical: Education: Lower Education | CallCount: 0
16053453548,"Webster Area School District, SD","Webster Area School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
6055399391,"Wessington Springs School District, SD","Wessington Springs School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
13086543273,"Wheeler Central, NE","Wheeler Central, NE",State: NE | Vertical: Education: Lower Education | CallCount: 0
6052492251,"White Lake School District, SD","White Lake School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
16052593135,"White River School District 47-1, SD","White River School District 47-1, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
6056255945,"Willow Lake School District, SD","Willow Lake School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
6059384647,Wilmot School District (SD) - ISD 54-7,Wilmot School District (SD) - ISD 54-7,State: SD | Vertical: Education: Lower Education | CallCount: 0
16055573405,"Winner School District, SD","Winner School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
16058834221,"Wolsey Wessington School District 02-6, SD","Wolsey Wessington School District 02-6, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
3082343410,"Zion Lutheran School, NE","Zion Lutheran School, NE",State: NE | Vertical: Education: Lower Education | CallCount: 0
